A = 58
Z = 28
Binding Energy ≈ 493.936 MeV 
Binding Energy per nucleon ≈ 8.516 MeV
 
Maximum Binding Energy per nucleon (Z=28) ≈ 8.516 MeV at A = 58
 
Z=1 	 A=2 	  B/A = -2.546 MeV
Z=2 	 A=4 	  B/A = 5.843 MeV
Z=3 	 A=6 	  B/A = 4.752 MeV
Z=4 	 A=8 	  B/A = 6.835 MeV
Z=5 	 A=10 	  B/A = 6.423 MeV
Z=6 	 A=12 	  B/A = 7.450 MeV
Z=7 	 A=15 	  B/A = 7.276 MeV
Z=8 	 A=16 	  B/A = 7.829 MeV
Z=9 	 A=19 	  B/A = 7.757 MeV
Z=10 	 A=20 	  B/A = 8.075 MeV
Z=11 	 A=23 	  B/A = 8.048 MeV
Z=12 	 A=24 	  B/A = 8.239 MeV
Z=13 	 A=27 	  B/A = 8.234 MeV
Z=14 	 A=28 	  B/A = 8.348 MeV
Z=15 	 A=31 	  B/A = 8.355 MeV
Z=16 	 A=32 	  B/A = 8.419 MeV
Z=17 	 A=35 	  B/A = 8.433 MeV
Z=18 	 A=36 	  B/A = 8.463 MeV
Z=19 	 A=39 	  B/A = 8.481 MeV
Z=20 	 A=41 	  B/A = 8.496 MeV
Z=21 	 A=43 	  B/A = 8.506 MeV
Z=22 	 A=46 	  B/A = 8.521 MeV
Z=23 	 A=47 	  B/A = 8.514 MeV
Z=24 	 A=50 	  B/A = 8.533 MeV
Z=25 	 A=51 	  B/A = 8.510 MeV
Z=26 	 A=54 	  B/A = 8.530 MeV
Z=27 	 A=55 	  B/A = 8.495 MeV
Z=28 	 A=58 	  B/A = 8.516 MeV
Z=29 	 A=59 	  B/A = 8.471 MeV
Z=30 	 A=62 	  B/A = 8.494 MeV
Z=31 	 A=63 	  B/A = 8.441 MeV
Z=32 	 A=66 	  B/A = 8.464 MeV
Z=33 	 A=69 	  B/A = 8.407 MeV
Z=34 	 A=70 	  B/A = 8.428 MeV
Z=35 	 A=73 	  B/A = 8.379 MeV
Z=36 	 A=74 	  B/A = 8.388 MeV
Z=37 	 A=77 	  B/A = 8.344 MeV
Z=38 	 A=78 	  B/A = 8.344 MeV
Z=39 	 A=81 	  B/A = 8.305 MeV
Z=40 	 A=82 	  B/A = 8.296 MeV
Z=41 	 A=85 	  B/A = 8.262 MeV
Z=42 	 A=86 	  B/A = 8.246 MeV
Z=43 	 A=89 	  B/A = 8.215 MeV
Z=44 	 A=92 	  B/A = 8.195 MeV
Z=45 	 A=93 	  B/A = 8.166 MeV
Z=46 	 A=96 	  B/A = 8.148 MeV
Z=47 	 A=97 	  B/A = 8.114 MeV
Z=48 	 A=100 	  B/A = 8.098 MeV
Z=49 	 A=101 	  B/A = 8.060 MeV
Z=50 	 A=104 	  B/A = 8.046 MeV
Z=51 	 A=105 	  B/A = 8.004 MeV
Z=52 	 A=108 	  B/A = 7.992 MeV
Z=53 	 A=111 	  B/A = 7.946 MeV
Z=54 	 A=112 	  B/A = 7.936 MeV
Z=55 	 A=115 	  B/A = 7.894 MeV
Z=56 	 A=116 	  B/A = 7.878 MeV
Z=57 	 A=119 	  B/A = 7.839 MeV
Z=58 	 A=120 	  B/A = 7.820 MeV
Z=59 	 A=123 	  B/A = 7.783 MeV
Z=60 	 A=124 	  B/A = 7.760 MeV
Z=61 	 A=127 	  B/A = 7.726 MeV
Z=62 	 A=130 	  B/A = 7.701 MeV
Z=63 	 A=131 	  B/A = 7.667 MeV
Z=64 	 A=134 	  B/A = 7.644 MeV
Z=65 	 A=135 	  B/A = 7.608 MeV
Z=66 	 A=138 	  B/A = 7.586 MeV
Z=67 	 A=139 	  B/A = 7.547 MeV
Z=68 	 A=142 	  B/A = 7.527 MeV
Z=69 	 A=143 	  B/A = 7.486 MeV
Z=70 	 A=146 	  B/A = 7.467 MeV
Z=71 	 A=149 	  B/A = 7.428 MeV
Z=72 	 A=150 	  B/A = 7.406 MeV
Z=73 	 A=153 	  B/A = 7.369 MeV
Z=74 	 A=154 	  B/A = 7.345 MeV
Z=75 	 A=157 	  B/A = 7.310 MeV
Z=76 	 A=158 	  B/A = 7.283 MeV
Z=77 	 A=161 	  B/A = 7.250 MeV
Z=78 	 A=164 	  B/A = 7.223 MeV
Z=79 	 A=165 	  B/A = 7.189 MeV
Z=80 	 A=168 	  B/A = 7.164 MeV
Z=81 	 A=169 	  B/A = 7.127 MeV
Z=82 	 A=172 	  B/A = 7.103 MeV
Z=83 	 A=173 	  B/A = 7.065 MeV
Z=84 	 A=176 	  B/A = 7.043 MeV
Z=85 	 A=179 	  B/A = 7.006 MeV
Z=86 	 A=180 	  B/A = 6.981 MeV
Z=87 	 A=183 	  B/A = 6.946 MeV
Z=88 	 A=184 	  B/A = 6.920 MeV
Z=89 	 A=187 	  B/A = 6.886 MeV
Z=90 	 A=190 	  B/A = 6.858 MeV
Z=91 	 A=191 	  B/A = 6.825 MeV
Z=92 	 A=194 	  B/A = 6.798 MeV
Z=93 	 A=195 	  B/A = 6.764 MeV
Z=94 	 A=198 	  B/A = 6.738 MeV
Z=95 	 A=199 	  B/A = 6.702 MeV
Z=96 	 A=202 	  B/A = 6.677 MeV
Z=97 	 A=205 	  B/A = 6.641 MeV
Z=98 	 A=206 	  B/A = 6.617 MeV
Z=99 	 A=209 	  B/A = 6.582 MeV
Z=100 	 A=210 	  B/A = 6.555 MeV
Maximum value of binding energy per nucleon occurs at Z = 24
